,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result,black_king_dst,black2white_king_dst,black2rook_dst
17642,2,2,3,3,8,3,13,0,6,5
88,1,1,6,3,5,3,-1,2,4,1
4480,4,4,7,5,8,2,6,0,4,3
18262,3,1,7,3,2,7,13,1,6,5
19545,4,1,2,5,8,5,13,0,4,6
20396,4,2,4,8,5,4,13,3,2,4
15403,4,1,6,5,8,5,12,0,4,2
25867,1,1,6,1,5,5,15,3,4,4
25257,4,2,1,1,6,5,14,2,3,5
21141,1,1,5,5,6,2,14,1,5,3
3281,4,2,4,4,2,1,4,0,2,3
12648,4,3,5,3,2,6,11,1,3,3
3940,3,2,2,4,1,6,6,0,4,2
7218,3,3,1,3,8,2,9,0,5,7
4040,4,1,3,6,8,1,6,0,4,5
9784,4,3,4,5,8,5,10,0,4,4
8730,3,1,3,2,2,5,10,1,4,3
10479,2,1,2,7,7,8,11,0,7,5
19926,4,1,8,5,5,4,13,3,3,3
13327,2,1,4,1,3,3,12,2,2,2
4165,4,2,3,4,6,1,6,0,2,3
12633,4,3,5,2,6,3,11,2,2,1
6821,2,2,4,6,7,1,9,0,5,5
23575,3,1,8,4,3,5,14,2,4,5
24048,3,2,8,2,5,3,14,2,2,3
4900,4,3,4,1,2,2,7,1,2,2
18884,3,2,6,1,4,8,13,0,6,7
19335,3,3,4,6,6,4,13,2,3,2
8599,2,2,2,4,6,1,10,0,4,4
1401,3,2,7,5,8,6,-1,0,5,1
21737,2,1,4,8,8,8,14,0,7,4
8613,2,2,2,8,4,1,10,0,2,7
17158,2,1,4,5,8,6,13,0,6,4
4262,4,3,1,8,8,1,6,0,4,7
6516,4,4,7,4,2,1,8,0,3,5
15295,4,1,4,8,1,7,12,0,6,3
24902,4,1,7,1,4,8,14,0,7,7
20835,4,2,8,7,5,6,13,2,4,3
9247,3,3,6,7,7,2,10,1,4,5
1854,4,1,6,4,5,3,-1,2,2,1
3848,4,3,7,8,8,1,5,0,4,7
9195,3,3,4,6,8,7,10,0,5,4
20749,4,2,8,2,5,4,13,3,2,3
9729,4,3,1,7,1,4,10,0,3,3
8281,4,4,8,2,8,8,9,0,4,6
11034,3,1,7,4,2,3,11,1,2,5
24198,4,1,1,3,6,3,14,2,2,5
14070,3,1,6,5,8,5,12,0,5,2
25177,4,1,8,6,4,5,14,3,4,4
5298,3,1,2,4,7,1,8,0,4,5
5660,3,3,6,6,5,1,8,0,2,5
6155,4,3,5,6,8,2,8,0,4,4
5087,4,4,4,3,3,1,7,0,3,2
6365,4,4,4,8,4,2,8,1,2,6
26061,2,1,2,3,5,4,15,3,3,3
9110,3,3,2,1,5,2,10,1,2,3
20840,4,2,8,7,6,6,13,2,4,2
15594,4,2,2,5,7,7,12,1,5,5
5696,3,3,8,3,6,1,8,0,3,2
22882,3,1,2,3,6,6,14,2,5,4
258,2,1,2,7,2,6,-1,1,5,1
21898,2,1,6,4,6,8,14,0,7,4
25916,1,1,7,8,7,2,15,1,6,6
25823,1,1,5,6,5,4,15,3,4,2
9004,3,2,6,5,8,2,10,0,5,3
13743,2,2,6,7,7,5,12,1,5,2
8774,3,1,5,5,1,3,10,0,2,4
23172,3,1,5,3,5,6,14,2,5,3
23889,3,2,4,8,6,4,14,2,3,4
18858,3,2,5,7,3,5,13,2,3,2
22522,2,2,7,4,7,6,14,1,5,2
18704,3,2,3,4,6,6,13,2,4,3
15724,4,2,5,1,6,2,12,1,2,1
3413,4,3,8,3,4,1,4,0,2,4
15243,4,1,4,2,8,6,12,0,5,4
329,2,1,4,4,3,5,-1,2,4,1
3278,4,2,4,3,1,2,4,0,3,3
11833,4,1,6,3,8,5,11,0,4,2
24008,3,2,7,7,3,4,14,2,2,4
941,3,1,5,5,4,5,-1,3,4,1
20525,4,2,6,4,4,6,13,2,4,2
136,1,1,7,3,8,4,-1,0,7,1
6963,3,1,4,6,8,2,9,0,5,4
27064,3,1,4,8,4,4,15,3,3,4
11581,3,3,6,7,7,4,11,1,4,3
5704,4,1,1,6,8,2,8,0,4,7
8399,2,1,1,4,6,1,10,0,4,5
12492,4,3,3,3,8,5,11,0,4,5
19869,4,1,7,6,4,7,13,1,6,3
7877,4,3,8,5,1,5,9,0,3,7
27688,1,1,2,6,6,3,16,2,5,4
966,3,1,5,8,5,7,-1,1,6,1
17952,3,1,2,6,7,7,13,1,6,5
22261,2,2,2,1,7,6,14,1,5,5
21172,1,1,5,8,8,5,14,0,7,3
11380,3,2,8,5,8,2,11,0,5,3
2943,3,2,2,1,1,1,2,0,2,1
1264,3,2,5,2,6,3,-1,2,3,1
26213,2,1,3,7,4,4,15,3,3,3
25496,4,2,8,6,6,5,14,2,3,2
9466,4,2,3,3,1,6,10,0,4,3
18925,3,2,6,4,4,7,13,1,5,3
21998,2,1,7,5,3,6,14,2,5,4
6198,4,3,7,6,1,4,8,0,3,6
22957,3,1,2,8,6,6,14,2,5,4
14035,3,1,5,8,1,5,12,0,4,4
3006,3,3,1,7,3,1,2,0,2,6
4540,3,1,1,3,8,2,7,0,5,7
6484,4,4,6,7,2,1,8,0,3,6
22916,3,1,2,5,3,7,14,1,6,2
21046,1,1,3,5,8,5,14,0,7,5
24084,3,2,8,7,6,4,14,2,3,3
20774,4,2,8,3,6,3,13,2,2,2
16732,4,4,7,3,7,6,12,1,3,3
24045,3,2,8,1,6,5,14,2,3,4
18959,3,2,7,1,4,7,13,1,5,6
20431,4,2,5,5,3,5,13,2,3,2
14869,3,3,2,4,8,6,12,0,5,6
23980,3,2,7,3,3,5,14,2,3,4
10894,3,1,4,4,1,6,11,0,5,3
